reference,source,sentence_raw,construction,verb,dependency,final_input
Levin (1993),curated_data,There is a flowering plant on the windowsill.,3,be,expl verb attr,expl verb attr [SEP] be [SEP] There is a flowering plant on the windowsill.
Levin (1993),curated_data,There developed a problem.,3,develop,expl verb dobj,expl verb dobj [SEP] develop [SEP] There developed a problem.
Levin (1993),curated_data,There appeared a ship on the horizon.,3,appear,expl verb dobj prep,expl verb dobj prep [SEP] appear [SEP] There appeared a ship on the horizon.
Levin (1993),curated_data,There darted into the room a little boy.,3,dart,expl verb prep dobj,expl verb prep dobj [SEP] dart [SEP] There darted into the room a little boy.
Levin (1993),curated_data,There was found in this cave an ancient treasure trove.,3,be,verb,verb [SEP] be [SEP] There was found in this cave an ancient treasure trove.
Levin (1993),curated_data,Suddenly there entered the hall an ugly old man.,3,enter,advmod verb dative dobj,advmod verb dative dobj [SEP] enter [SEP] Suddenly there entered the hall an ugly old man.
Levin (1993),curated_data,On his finger there sparkled a magnificent diamond.,3,sparkle,prep advmod verb dobj,prep advmod verb dobj [SEP] sparkle [SEP] On his finger there sparkled a magnificent diamond.
Levin (1993),curated_data,In the hallway there ticked a grandfather clock.,3,tick,prep verb dobj,prep verb dobj [SEP] tick [SEP] In the hallway there ticked a grandfather clock.
Levin (1993),curated_data,Over the fire there bubbled a fragrant stew.,3,bubble,prep verb dobj,prep verb dobj [SEP] bubble [SEP] Over the fire there bubbled a fragrant stew.
Levin (1993),curated_data,There exists a solution to this problem.,3,exist,expl verb dobj,expl verb dobj [SEP] exist [SEP] There exists a solution to this problem.
Levin (1993),curated_data,In the mountains there raged a fire.,3,rage,prep verb dobj,prep verb dobj [SEP] rage [SEP] In the mountains there raged a fire.
Levin (1993),curated_data,Over the fort there fluttered a large flag.,3,flutter,prep verb dobj,prep verb dobj [SEP] flutter [SEP] Over the fort there fluttered a large flag.
Levin (1993),curated_data,Through the hall there echoed a loud cry.,3,echo,prep verb dobj,prep verb dobj [SEP] echo [SEP] Through the hall there echoed a loud cry.
Levin (1993),curated_data,In the aquarium there swam a striped fish.,3,swam,prep verb dobj,prep verb dobj [SEP] swam [SEP] In the aquarium there swam a striped fish.
Levin (1993),curated_data,There stood on the comer a statue of Jefferson.,3,stand,expl verb prep dobj,expl verb prep dobj [SEP] stand [SEP] There stood on the comer a statue of Jefferson.
Levin (1993),curated_data,There ran through the valley a rushing stream.,3,run,expl verb prep dobj,expl verb prep dobj [SEP] run [SEP] There ran through the valley a rushing stream.
Levin (1993),curated_data,There happened a serious accident yesterday.,3,happen,expl verb attr npadvmod,expl verb attr npadvmod [SEP] happen [SEP] There happened a serious accident yesterday.
Levin (1993),curated_data,There jumped out of the box a little white rabbit.,3,jump,expl verb prep npadvmod,expl verb prep npadvmod [SEP] jump [SEP] There jumped out of the box a little white rabbit.
Hornby (1975),curated_data,There it is!,3,be,advmod nsubj verb,advmod nsubj verb [SEP] be [SEP] There it is!
Hornby (1975),curated_data,There are the others!,3,be,expl verb attr,expl verb attr [SEP] be [SEP] There are the others!
Hornby (1975),curated_data,There's a plan of the town on page 23.,3,be,expl verb attr,expl verb attr [SEP] be [SEP] There's a plan of the town on page 23.
Hornby (1975),curated_data,Was there anyone up?,3,be,ccomp expl verb attr,ccomp expl verb attr [SEP] be [SEP] Was there anyone up?
Hornby (1975),curated_data,There was no wind.,3,be,expl verb attr,expl verb attr [SEP] be [SEP] There was no wind.
